awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Conference Title,Conference Date,Total Citations,Average per Year,ave3,ave5
22350031,2010,2012,13300000,0,10101,3,SE,1,10.1021/jp203090e,Electric-Field-Induced Changes in Absorption and Fluorescence of the Green Fluorescent Protein Chromophore in a PMMA Film,"Nakabayashi, Takakazu; Hino, Kazuyuki; Ohta, Yuka; Ito, Sayuri; Nakano, Hirofumi; Ohta, Nobuhiro",JOURNAL OF PHYSICAL CHEMISTRY B,JUL 7 2011,2011,,,12.0,0.92,1.333333333,1.6
22350031,2010,2012,13300000,0,10101,3,SE,1,10.1021/jp1063066,Fluorescence Decay Dynamics of Flavin Adenine Dinucleotide in a Mixture of Alcohol and Water in the Femtosecond and Nanosecond Time Range,"Nakabayashi, Takakazu; Islam, Md. Serajul; Ohta, Nobuhiro",JOURNAL OF PHYSICAL CHEMISTRY B,NOV 25 2010,2010,,,33.0,2.36,1.666666667,2.6
22340044,2010,2012,12500000,0,14301,3,SE,1,10.1111/j.1365-2966.2012.21777.x,"FMOS near-IR spectroscopy of Herschel-selected galaxies: star formation rates, metallicity and dust attenuation at z similar to 1","Roseboom, I. G.; Bunker, A.; Sumiyoshi, M.; Wang, L.; Dalton, G.; Akiyama, M.; Bock, J.; Bonfield, D.; Buat, V.; Casey, C.; Chapin, E.; Clements, D. L.; Conley, A.; Curtis-Lake, E.; Cooray, A.; Dunlop, J. S.; Farrah, D.; Ham, S. J.; Ibar, E.; Iwamuro, F.; Kimura, M.; Lewis, I.; Macaulay, E.; Magdis, G.; Maihara, T.; Marsden, G.; Mauch, T.; Moritani, Y.; Ohta, K.; Oliver, S. J.; Page, M. J.; Schulz, B.; Scott, Douglas; Symeonidis, M.; Takato, N.; Tamura, N.; Totani, T.; Yabe, K.; Zemcov, M.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,NOV 2012,2012,,,31.0,2.58,4.333333333,4.0
23340033,2011,2014,14000000,0,17701,4,SE,1,10.1007/s11868-015-0112-1,Fourth-order dispersive systems on the one-dimensional torus,"Chihara, Hiroyuki",JOURNAL OF PSEUDO-DIFFERENTIAL OPERATORS AND APPLICATIONS,JUN 2015,2015,,,5.0,0.56,0.666666667,0.6
23340033,2011,2014,14000000,0,17701,4,SE,1,10.2969/jmsj/06630895,Resolvent estimates on symmetric spaces of noncompact type,"Kaizuka, Koichi",JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,JUL 2014,2014,,,7.0,0.7,0.333333333,0.4
23340033,2011,2014,14000000,0,17701,4,SE,1,10.1112/blms/bds060,Schrodinger flow into almost Hermitian manifolds,"Chihara, Hiroyuki",BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,FEB 2013,2013,,,7.0,0.64,0.666666667,0.8
23340033,2011,2014,14000000,0,17701,4,SE,1,10.1080/00927872.2011.590952,EXTENSIONS OF THE TENSOR ALGEBRA AND THEIR APPLICATIONS,"Itoh, Minoru",COMMUNICATIONS IN ALGEBRA,2012,2012,,,2.0,0.17,0.0,0.4
23340033,2011,2014,14000000,0,17701,4,SE,1,10.1016/j.aim.2010.10.003,Support theorem for the fundamental solution to the Schrodinger equation on certain compact symmetric spaces,"Kakehi, Tomoyuki",ADVANCES IN MATHEMATICS,FEB 15 2011,2011,,,1.0,0.08,0.0,0.2
23340057,2011,2013,15000000,0,12601,3,SE,1,10.1016/j.nima.2014.04.065,Reactor antineutrino monitoring with a plastic scintillator array as a new safeguards method,"Oguri, S.; Kuroda, Y.; Kato, Y.; Nakata, R.; Inoue, Y.; Ito, C.; Minowa, M.",NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,SEP 1 2014,2014,,,39.0,3.9,3.0,3.0
23340057,2011,2013,15000000,0,12601,3,SE,1,10.1016/j.nima.2012.06.040,A mobile antineutrino detector with plastic scintillators,"Kuroda, Y.; Oguri, S.; Kato, Y.; Nakata, R.; Inoue, Y.; Ito, C.; Minowa, M.",NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,OCT 21 2012,2012,,,32.0,2.67,0.666666667,2.4
